Philosophy Psychology,Technology,Novel,"General Medicine, Health Professions",Language and literature,Medicine,Science,Social Science
?,?,Y,?,Y,Y,Y,?
Y,Y,?,?,Y,Y,Y,?
?,Y,Y,?,?,Y,?,?
Y,?,?,?,?,Y,?,Y
Y,?,?,?,?,Y,?,Y
?,Y,Y,?,?,Y,?,?
Y,?,?,?,Y,Y,?,Y
Y,?,?,?,?,Y,Y,?
?,?,?,?,Y,Y,Y,?
Y,?,Y,?,?,Y,Y,?
Y,?,?,Y,?,Y,Y,Y
?,Y,?,?,?,Y,Y,?
?,Y,?,?,?,Y,Y,?
?,Y,Y,?,Y,Y,Y,?
Y,?,?,?,Y,Y,Y,Y
Y,?,?,?,?,Y,Y,?
?,?,Y,?,Y,Y,Y,?
?,Y,Y,?,Y,Y,Y,?
?,Y,?,?,?,Y,Y,?
Y,?,Y,?,?,Y,Y,Y
?,?,?,?,?,Y,Y,Y
?,Y,?,Y,Y,?,?,?
?,?,?,?,?,Y,Y,Y
?,?,Y,?,?,Y,?,Y
?,?,?,?,?,Y,Y,Y
?,?,?,?,Y,Y,Y,Y
?,?,?,?,?,Y,Y,Y
?,?,Y,?,?,Y,Y,Y
?,?,Y,?,?,Y,Y,Y
?,Y,?,?,Y,Y,Y,Y
Y,?,Y,Y,Y,Y,Y,?
?,Y,Y,Y,?,?,?,Y
Y,?,?,Y,?,Y,Y,Y
Y,?,Y,?,Y,Y,Y,?
Y,?,Y,?,?,Y,Y,Y
?,?,?,?,Y,Y,Y,Y
Y,?,Y,?,?,Y,Y,?
?,?,Y,?,?,Y,Y,Y
?,Y,?,Y,?,Y,Y,?
Y,?,Y,?,?,Y,Y,Y
Y,?,Y,?,?,Y,Y,Y
?,?,Y,?,Y,Y,Y,Y
Y,?,Y,?,Y,Y,Y,?
?,?,?,Y,?,?,Y,Y
?,?,?,Y,?,Y,Y,?
?,?,?,Y,?,?,Y,Y
?,?,?,Y,?,?,Y,Y
?,Y,?,Y,?,?,Y,Y
?,?,?,Y,?,Y,Y,Y
?,?,?,Y,?,Y,Y,Y
?,?,?,Y,?,?,Y,Y
Y,?,?,Y,?,?,Y,?
?,?,?,Y,?,Y,Y,?
?,?,?,Y,?,Y,Y,Y
?,?,?,Y,?,Y,Y,?
?,?,Y,Y,Y,Y,?,?
?,?,?,Y,?,?,Y,Y
?,?,?,Y,?,Y,Y,?
?,?,?,Y,?,Y,Y,?
?,?,?,Y,?,Y,Y,?
?,?,?,Y,?,Y,Y,?
?,?,?,Y,?,Y,Y,?
?,?,?,Y,Y,?,Y,Y
?,Y,?,Y,?,Y,Y,Y
?,Y,?,Y,Y,?,Y,Y
?,Y,Y,Y,?,?,Y,?
?,Y,?,Y,?,Y,Y,?
?,?,Y,?,Y,Y,Y,Y
Y,?,?,?,?,Y,Y,Y
Y,?,Y,Y,Y,Y,Y,Y
Y,?,?,?,?,Y,Y,Y
?,?,?,Y,Y,Y,Y,Y
?,?,Y,?,Y,Y,Y,Y
Y,?,Y,?,?,Y,Y,Y
?,?,?,?,Y,Y,Y,Y
?,?,Y,?,Y,Y,Y,?
?,?,Y,Y,?,Y,Y,?
Y,?,Y,?,?,Y,Y,?
?,?,Y,?,Y,Y,Y,Y
?,?,?,Y,?,Y,Y,Y
Y,?,Y,?,Y,Y,Y,Y
Y,?,Y,?,?,Y,Y,?
Y,?,Y,?,Y,Y,Y,Y
Y,?,?,?,Y,Y,Y,Y
Y,?,Y,?,?,Y,Y,?
Y,?,?,Y,?,Y,Y,Y
?,?,Y,?,?,Y,Y,Y
?,?,Y,Y,?,Y,Y,?
?,Y,Y,Y,?,Y,Y,Y
?,Y,Y,?,Y,Y,Y,Y
?,?,?,Y,Y,Y,Y,?
?,?,?,Y,Y,Y,Y,?
Y,Y,Y,?,Y,Y,Y,Y
Y,?,?,?,Y,Y,Y,?
?,?,Y,?,Y,Y,Y,?
Y,?,Y,?,Y,Y,Y,?
?,?,Y,Y,?,Y,Y,?
?,Y,?,?,Y,Y,Y,?
